Movie Name,Language,Year,Seen,Size (MB),IMDB Rating,My Rating,Genre,
Die Hard: Live Free or Die Hard,English,2007,Yes,1374.85,7.40,7,Action-Crime-Thriller,
Die Hard: With a Vengeance,English,1995,Yes,800.55,7.50,NA,Action-Crime-Thriller,
Dil Chahta Hai,Hindi,2001,Yes,700.69,8.30,9,Comedy-Drama,
Dil Ka Rishta,Hindi,2003,Yes,571.24,5.00,NA,Romance,
Dilwale Dulhania Le Jayenge,Hindi,1995,Yes,621.30,7.80,8,Comedy-Family-Musical-Romance,
Disaster Movie,English,2008,Yes,701.89,1.70,5,Comedy,
District 9,English,2009,Yes,700.41,8.10,9,Action-Drama-Sci-Fi-Thriller,
District B13 (Banlieue 13),English,2004,Yes,887.25,7.10,NA,Action-Crime-Sci-Fi,
Disturbia,English,2007,Yes,1219.34,7.00,NA,Drama-Thriller,
DOA: Dead or Alive,English,2006,Yes,700.72,4.80,NA,Action-Adventure,
Doghat Tisara ata Sagal Visara,Marathi,NA,Yes,1214.56,NA,7,Comedy-Family,
Dombivli Fast,Marathi,2005,Yes,391.57,7.70,NA,Drama,
Don,Hindi,2006,Yes,695.73,6.90,8,Action-Comedy-Crime-Mystery-Romance-Thriller,
Don - Old,Hindi,1978,Yes,696.95,7.60,9,Action-Crime-Musical-Thriller,
Dookudu 2011,Telugu,2011,No,2234.75,NA,NA,,
Doom,English,2005,Yes,572.67,5.10,NA,Action-Adventure-Horror-Sci-Fi-Thriller,
Dostana,Hindi,2008,Yes,699.52,6.40,6,Comedy-Drama-Romance,
Double Dhamaal,Hindi,2011,Yes,700.61,4.30,5,Comedy-Crime-Drama,
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,English,1964,Yes,701.07,8.60,9,Comedy-Drama,
Dragon Wars,English,2007,Yes,700.51,3.80,NA,Action-Drama-Fantasy-Horror-Thriller,
Dragonball Evolution,English,2009,Yes,700.32,3.20,7,Action-Adventure-Fantasy-Sci-Fi-Thriller,
DragonHeart,English,1996,Yes,700.02,6.20,6,Action-Adventure-Drama-Fantasy,
Dragonheart Collection,English,1996,Yes,1400.04,NA,6,Action-Adventure-Drama-Fantasy,
Dragonheart: A New Beginning,English,2000,Yes,700.02,4.50,5,Action-Adventure-Comedy-Drama-Fantasy-Thriller,
Dragonlance: Dragons of Autumn Twilight,English,2008,Yes,299.54,4.90,5,Action-Adventure-Animation-Fantasy,
Drop Dead Gorgeous,English,2010,Yes,1486.71,2.00,2,Comedy-Drama,
Drop Zone,English,1994,Yes,343.40,5.30,NA,Action-Thriller,
DuckTales: The Movie - Treasure of the Lost Lamp,English,1990,Yes,678.18,6.60,NA,Animation-Adventure-Comedy-Family-Fantasy,
Due Date,English,2010,Yes,914.56,6.60,NA,Comedy-Drama,
Dumb & Dumber,English,1994,Yes,190.66,7.20,8,Comedy,
Duplicity,English,2009,No,700.01,6.30,NA,Romance-Thriller,
